Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Petal Ratio,Sepal Ratio,Area Ratio
1,5.1,3.5,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.01568627450980392
2,4.9,3.0,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.019047619047619046
3,4.7,3.2,1.3,0.2,Iris-setosa,6.5,1.0,0.017287234042553192
4,4.6,3.1,1.5,0.2,Iris-setosa,7.5,1.0,0.02103786816269285
5,5.0,3.6,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.015555555555555553
6,5.4,3.9,1.7,0.4,Iris-setosa,4.25,1.0,0.03228869895536562
7,4.6,3.4,1.4,0.3,Iris-setosa,4.666666666666667,1.0,0.026854219948849106
8,5.0,3.4,1.5,0.2,Iris-setosa,7.5,1.0,0.017647058823529415
9,4.4,2.9,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.021943573667711595
10,4.9,3.1,1.5,0.1,Iris-setosa,15.0,1.0,0.009874917709019092
11,5.4,3.7,1.5,0.2,Iris-setosa,7.5,1.0,0.015015015015015015
12,4.8,3.4,1.6,0.2,Iris-setosa,8.0,1.0,0.019607843137254905
13,4.8,3.0,1.4,0.1,Iris-setosa,13.999999999999998,1.0,0.009722222222222222
14,4.3,3.0,1.1,0.1,Iris-setosa,11.0,1.0,0.008527131782945738
15,5.8,4.0,1.2,0.2,Iris-setosa,5.999999999999999,1.0,0.010344827586206896
16,5.7,4.4,1.5,0.4,Iris-setosa,3.75,1.0,0.02392344497607656
17,5.4,3.9,1.3,0.4,Iris-setosa,3.25,1.0,0.024691358024691357
18,5.1,3.5,1.4,0.3,Iris-setosa,4.666666666666667,1.0,0.023529411764705885
19,5.7,3.8,1.7,0.3,Iris-setosa,5.666666666666667,1.0,0.023545706371191136
20,5.1,3.8,1.5,0.3,Iris-setosa,5.0,1.0,0.023219814241486066
21,5.4,3.4,1.7,0.2,Iris-setosa,8.5,1.0,0.01851851851851852
22,5.1,3.7,1.5,0.4,Iris-setosa,3.75,1.0,0.031796502384737683
23,4.6,3.6,1.0,0.2,Iris-setosa,5.0,1.0,0.01207729468599034
24,5.1,3.3,1.7,0.5,Iris-setosa,3.4,1.0,0.05050505050505051
25,4.8,3.4,1.9,0.2,Iris-setosa,9.499999999999998,1.0,0.023284313725490197
26,5.0,3.0,1.6,0.2,Iris-setosa,8.0,1.0,0.021333333333333336
27,5.0,3.4,1.6,0.4,Iris-setosa,4.0,1.0,0.03764705882352942
28,5.2,3.5,1.5,0.2,Iris-setosa,7.5,1.0,0.016483516483516487
29,5.2,3.4,1.4,0.2,Iris-setosa,6.999999999999999,1.0,0.01583710407239819
